Inh L1 LAMP5 PVRL2:Brain	RELN;HS3ST5;TRPC3;CBLN4
Inh L5-6 SST PIK3CD:Brain	LOC100996671;KLHL14
Inh L1-2 SST CCNJL:Brain	TMEM132C;CALB1;SPHKAP
Inh L1-3 SST FAM20A:Brain	TAC1;PCSK5
Inh L1-2 SST PRRT4:Brain	LOC101929028;LOC101927843
Inh L5-6 SST BEAN1:Brain	ADAMTSL1;SEMA5A;THSD7B;TRHDE
Inh L5-6 SST DNAJC14:Brain	STON2;HGF;ITGA1
Inh L5-6 SST C4orf26:Brain	SPON1;ADAMTS20;PENK
Inh L5-6 SST FBN2:Brain	KLHL1;HCRTR2
Inh L5-6 SST KLHL1:Brain	NDST4;SLC17A8;KLHL14
Inh L6 SST TH:Brain	TH;LOC100128108
Inh L5-6 PVALB KCNIP2:Brain	GPC5;VAV3;NPFFR2
Inh L5-6 PVALB ZFPM2-AS1:Brain	PCDH15;ZFPM2_AS1;SEMA6D
Inh L3-5 PVALB ISG20:Brain	LOC101926942;SV2C;LOC105377862
Inh L5 PVALB LRIG3:Brain	GPC5;CDH6;PLCE1
Inh L2-5 PVALB HHIPL1:Brain	ADAMTS17;MDFIC;ADAMTS20
Inh L2-5 PVALB RPH3AL:Brain	POSTN;MYO5B;ARHGAP42;WIF1
Inh L3 PVALB SAMD13:Brain	LOC101928964;SULF1
Inh L1-2 PVALB CDK20:Brain	SYT10;ADAMTS12;TMEM132C
Inh L2 PVALB FRZB:Brain	SLC9A9;RGS5;CBLN4
Inh L1-2 SST CLIC6:Brain	NEDD4;ARHGAP42;TAC1
Inh L5-6 PVALB GAPDHP60:Brain	GPC5;SEMA3C;MYBPC1
Inh L5-6 PVALB FAM150B:Brain	TNC;MYBPC1;FAM150B
Inh L5-6 PVALB MEPE:Brain	MEPE;MYBPC1;SVIL
Inh L1-6 PVALB COL15A1 (Chandelier):Brain	NPNT;COL15A1
Exc L2 LAMP5 KCNG3:Brain	LOC101927668;FAM163A;SAMD3
Exc L2 LINC00507 ATP7B:Brain	LOC105377209;ACVR1C
Exc L2 LINC00507 GLRA3:Brain	LINC01378;SERPINE2;LOC101928278
Exc L2-3 RORB RTKN2:Brain	LOC101927745;PLCH1;LOC105376987;RMST
Exc L2-3 LINC00507 DSG3:Brain	LOC105379003;BMPR1B;BDNF
Exc L3 LAMP5 CARM1P1:Brain	SYT2;SV2C;EPB41L4A
Exc L2-3 RORB CCDC68:Brain	PRSS12;COBLL1;COL5A2
Exc L2-3 RORB PTPN3:Brain	LOC105370610;LOC105378334;COL5A2;RORB
Exc L3 THEMIS ENPEP:Brain	FAP;LOC101928964;LOC105376081;LAMA2
Exc L3-5 RORB TNNT2:Brain	LOC100507562;LOC105376081;FSHR
Exc L3-5 RORB LAMA4:Brain	LOC105376081;TRP;KCNH8;LOC101927281;LOC100128497
Exc L5 THEMIS VILL:Brain	TNC;LOC101927389;DACH1
Exc L3 RORB OTOGL:Brain	RMST;COL22A1
Exc L3-5 RORB LINC01202:Brain	LOC105377703;LOC105376081;LOC101927874;LOC105374971
Exc L5 THEMIS SLC22A18:Brain	BTNL9;LOC401134;SLC7A11;CCBE1
Exc L5-6 THEMIS TNFAIP6:Brain	LOC105378031;LOC105373893;TSHZ2;LTBP1
Exc L3-5 RORB LNX2:Brain	LOC105377703;TRABD2A;LOC105374971
Exc L3-5 RORB RPRM:Brain	LOC105374973;LOC105374971;RPRM
Exc L5 RORB MED8:Brain	NPFFR2;LOC401134;COL22A1
Exc L5 THEMIS FGF10:Brain	CRH;BDNF;NPFFR2
Exc L6 THEMIS LINC00343:Brain	LINC00299;LINC00343;ANKRD30B
Exc L6 THEMIS SLN:Brain	FAM163A;LOC105371832;LOC105374524
Exc L6 THEMIS SNTG2:Brain	LOC101927389;LOC105371310
Exc L5-6 THEMIS SMYD1 (L6 IT Car3):Brain	ATP10A;TRPC5
Exc L5-6 FEZF2 OR1L8:Brain	LOC101927439;LGR6;LOC105374392;LOC105377183
Exc L5 THEMIS LINC01116:Brain	LOC105369890;LOC105371663
Exc L5 THEMIS RGPD6:Brain	DDR2;THEMIS;LOC105371663
Exc L5-6 FEZF2 C9orf135-AS1:Brain	SEMA5A;EGFEM1P;FOXP2
Exc L5-6 FEZF2 FILIP1L:Brain	MCTP2;SEC16B;SULF1;LOC100128497
Exc L5-6 FEZF2 SH2D1B:Brain	ADAMTSL1;PAPSS2;MEIS2;NLGN4Y
Exc L6 FEZF2 PDYN:Brain	GBP2;PDYN
Exc L6 FEZF2 FFAR4:Brain	LOC105378486;FER1L6_AS2
Exc L6 FEZF2 PROKR2:Brain	SLITRK6;LOC105371310
Exc L5-6 FEZF2 CFTR:Brain	NR4A2;LOC105374392;SEMA3D
Exc L6 FEZF2 KLK7:Brain	LOC101927439;MDFIC
Exc L6 FEZF2 POGK:Brain	ADD3_AS1;PCOLCE2;LOC100132891
Exc L5 FEZF2 CSN1S1:Brain	OPN4;LOC105373592;VAT1L
Exc L3-5 FEZF2 ASGR2:Brain	LOC105376457;OR51E2
Exc L3-5 FEZF2 LINC01107:Brain	BTNL9;EDNRB
Exc L5 FEZF2 PKD2L1:Brain	VGLL3;NPSR1_AS1
Exc L5 FEZF2 NREP-AS1:Brain	LOC105370315;ADAMTS12;CD36
Exc L5 FEZF2 RNF144A-AS1:Brain	LOC105369818;LOC105370019;CD36
Exc L5-6 FEZF2 IFNG-AS1:Brain	LOC105369818;NPSR1_AS1
Exc L5-6 FEZF2 LPO:Brain	LOC101928114;LOC105376372
OPC L1-6 PDGFRA COL20A1:Brain	KIF25;TGFA;FAM222A
Oligo L2-6 OPALIN MAP6D1:Brain	ENPP2;LOC101927459
Oligo L3-6 OPALIN ENPP6:Brain	ST18;ENPP2;MBP;LINC01378
Oligo L2-6 OPALIN FTH1P3:Brain	VCAN;STK32A
Oligo L5-6 OPALIN LDLRAP1:Brain	OPALIN;LOC105376917;RNF219_AS1
Astro L1-6 FGFR3 AQP1:Brain	TNC
Astro L1 FGFR3 SERPINI2:Brain	WDR49;CFAP47
Astro L1-6 FGFR3 PLCG1:Brain	COL5A3;LOC105376917
Endo L2-5 NOSTRIN SRGN:Brain	CLDN5
VLMC L1-5 PDGFRA COLEC12:Brain	COL1A2;COLEC12
Micro L1-6 TYROBP CD74:Brain	P2RY12;APBB1IP
